Cap_do,Cap_up
"0,1863","0,0904"
"0,1757","0,226"
"0,229","0,0226"
"0,09","0,1582"
"0,378","0,0226"
"0,369","0,2354"
"0,255","0,2696"
"0,1925","0,858"
"0,1628","0,757"
"0,3472","0,8826"
"0,3992","0,1463"
"0,154","0,9522"
"0,07","0,1467"
"0,2898","0,298"
"0,172","1,4508"
"0,1812","1,1403"
"0,2133","1,3032"
"0,1175","1,653"
"0,0568","0,161"
"0,195","0,1356"
"0,3792","0,226"
"0,1665","0,0452"
"0,1515","0,1582"
"0,1445","0,1582"
"0,269","0,0904"
"0,0996","0,0678"
"0,0792","0,113"
"0,0349","0,226"
"0,2175","0,2034"
"0,483","0,1511"
"0,487","1,2832"
"0,1312","0,3606"
"0,1014","1,0614"
"0,4074","0,8574"
"0,2538","0,9317"
"0,575","0,314"
"0,04","0,5094"
"0,099","0,5364"
"0,2456","1,143"
"0,0247","0,5778"
"0,1225","0,778"
"0,1372","0,9455"
"0,293","0,7416"
"0,2824","0,113"
"0,2484","0,226"
"0,1526","0,226"
"0,324","0,1582"
"0,1425","0,0452"
"0,2552","0,0678"
"0,1212","0,2034"
"0,348","0,1808"
"0,1645","0,0452"
"0,0623","0,0226"
"0,131","0,9927"
"0,5733","1,245"
"0,3474","1,2465"
"0,483","0,9184"
"0,0625","1,31"
"0,408","1,365"
"0,189","0,9228"
"0,127","1,617"
"0,135","0,4851"
"0,2464","1,572"
"0,2094","1,2224"
"0,2345","0,1536"
"0,1536","0,9462"
"0,28","1,1375"
"0,1036","0,2034"
"0,114","0,0452"
"0,203","0,0678"
"0,7065","0,1808"
"0,1589","0,226"
"0,234","0,113"
"0,0468","0,1808"
"0,1105","0,0904"
"0,2219","0,226"
"0,5598","0,0904"
"0,612","1,214"
"0,4907","0,537"
"0,2356","0,7224"
"0,178","0,666"
"0,0541","1,318"
"0,2255","1,1232"
"0,0592","0,1422"
"0,0892","0,6216"
"0,0222","0,1554"
"0,0236","1,3986"
"0,026","0,302"
"0,2691","1,208"
"0,277","1,1744"
"0,3032","0,5316"
"0,2904","0,1582"
"0,2233","0,1356"
"0,2646","0,1582"
"0,2106","0,1808"
"0,1836","0,2034"
"0,1428","0,0452"
"0,047","0,0452"
"0,216","0,0452"
"0,2052","0,226"
"0,165","0,0904"
"0,0405","0,9444"
"0,1248","0,9835"
"0,388","0,8124"
"0,0749","0,2458"
"0,712","1,1025"
"0,444","0,9583"
"0,0676","0,6132"
"0,295","1,65"
"0,0735","0,99"
"0,2177","1,667"
"0,0608","0,9852"
"0,1092","0,1546"
"0,1845","0,4092"
"0,1374","1,1656"
"0,2415","0,2034"
"0,3552","0,113"
"0,27","0,226"
"0,1925","0,113"
"0,28","0,0452"
"0,22","0,0678"
"0,0238","0,0226"
"0,1404","0,1356"
"0,1694","0,1356"
"0,1632","0,1808"
"0,2352","0,7764"
"0,1835","0,6688"
"0,426","0,4725"
"0,8883","0,657"
"0,2247","0,879"
"0,0563","1,3212"
"0,3479","0,3472"
"0,0909","0,87"
"0,264","0,6936"
"0,1504","0,1742"
"0,0921","1,4984"
"0,2646","1,1454"
"0,0468","1,909"
"0,232","1,6848"
"0,1248","0,2034"
"0,1263","0,0904"
"0,09","0,0904"
"0,069","0,113"
"0,21","0,113"
"0,1315","0,1356"
"0,0235","0,226"
"0,3318","0,0904"
"0,171","0,1356"
"0,4806","0,0678"
"0,148","1,042"
"0,251","0,7026"
"0,1222","1,0998"
"0,1116","1,056"
"0,2952","0,664"
"0,4077","0,9023"
"0,076","0,7944"
"0,3456","0,1324"
"0,1596","0,4164"
"0,0828","0,1398"
"0,154","1,0984"
"0,0748","0,4152"
"0,2943","1,0656"
"0,2185","0,642"
"0,1299","0,226"
"0,2538","0,0226"
"0,0638","0,1808"
"0,332","0,226"
"0,451","0,0226"
"0,1446","0,226"
"0,208","0,0226"
"0,043","0,0226"
"0,1017","0,226"
"0,336","0,226"
"0,2196","1,314"
"0,3465","0,5195"
"0,3632","0,549"
"0,0956","0,3768"
"0,303","1,176"
"0,288","0,5745"
"0,261","0,3837"
"0,0357","0,5516"
"0,144","0,8532"
"0,1536","0,6995"
"0,1448","0,1393"
"0,188","1,1144"
"0,1668","0,724"
"0,2178","0,8688"
"0,301","0,1582"
"0,4563","0,113"
"0,0333","0,1582"
"0,1396","0,2034"
"0,1908","0,0904"
"0,196","0,1356"
"0,16","0,0904"
"0,2058","0,0226"
"0,1175","0,0904"
"0,2868","0,0678"
"0,378","0,4624"
"0,563","0,4424"
"0,247","0,6115"
"0,0328","0,282"
"0,2848","0,1415"
"0,252","1,1992"
"0,0371","0,1438"
"0,177","0,8628"
"0,2898","0,724"
"0,2752","0,2938"
"0,0294","1,495"
"0,1515","1,3167"
"0,3976","0,2696"
"0,0282","1,4"
"0,2106","0,226"
"0,1264","0,1582"
"0,1883","0,113"
"0,3042","0,113"
"0,0765","0,0904"
"0,1799","0,0452"
"0,1656","0,0904"
"0,2028","0,1808"
"0,3429","0,0678"
"0,2814","0,2034"
"1,01","0,2224"
"0,7336","0,1099"
"0,1412","0,225"
"0,1004","1,108"
"0,1119","0,14"
"0,0924","1,386"
"0,0238","1,1088"
"0,2192","0,8035"
"0,2331","1,467"
"0,1477","1,63"
"0,162","1,1375"
"0,2178","1,284"
"0,17","0,6124"
"0,204","0,4593"
"0,2583","0,226"
"0,2262","0,1356"
"0,2781","0,0452"
"0,078","0,226"
"0,1989","0,0678"
"0,0516","0,1582"
"0,118","0,1356"
"0,2106","0,0904"
"0,1704","0,226"
"0,2616","0,0452"
"0,1881","0,9056"
"0,1808","1,347"
"0,2464","1,3185"
"0,346","0,7554"
"0,0526","0,9648"
"0,376","0,9485"
"0,1995","1,1944"
"0,2052","1,0451"
"0,1132","1,1616"
"0,148","1,492"
"0,1076","0,5864"
"0,121","0,3072"
"0,0276","0,6064"
"0,2408","0,2972"
"0,3726","0,0226"
"0,2136","0,1582"
"0,2568","0,0452"
"0,1188","0,113"
"0,1175","0,1808"
"0,237","0,0678"
"0,227","0,1582"
"0,119","0,0226"
"0,0678","0,0226"
"0,3088","0,0452"
"0,334","0,1767"
"0,297","0,5316"
"0,6104","0,4416"
"0,3968","0,7865"
"0,2622","0,6444"
"0,7038","0,273"
"0,3396","1,048"
"0,5424","1,3779"
"0,2142","1,3192"
"0,2135","0,7108"
"0,299","1,4464"
"0,1092","1,4184"
"0,3534","0,1602"
"0,096","0,838"
"0,2058","0,1356"
"0,1795","0,2034"
"0,1752","0,0226"
"0,2373","0,0678"
"0,0822","0,113"
"0,2088","0,1808"
"0,1404","0,113"
"0,1638","0,0678"
"0,043","0,1582"
"0,2592","0,1356"
"0,1206","0,2734"
"0,0421","0,2544"
"0,1599","0,3462"
"0,4761","0,7662"
"0,3352","0,2601"
"0,2584","0,3916"
"0,259","0,2754"
"0,2114","1,0832"
"0,2064","0,574"
"0,06","1,431"
"0,0226","0,8958"
"0,2632","0,5832"
"0,0632","1,0066"
"0,3555","0,8622"
"0,1328","0,1356"
"0,2205","0,0678"
"0,1035","0,1582"
"0,2112","0,1582"
"0,1631","0,226"
"0,0228","0,0678"
"0,216","0,0226"
"0,233","0,226"
"0,2034","0,1808"
"0,5067","0,1808"
"0,663","0,134"
"0,2181","1,1128"
"0,4728","0,5772"
"0,234","0,8454"
"0,1384","0,6524"
"0,3636","1,1844"
"0,1125","0,6796"
"0,1344","1,787"
"0,2826","0,51"
"0,379","1,038"
"0,1925","0,7332"
"0,1656","0,8655"
"0,153","1,0656"
"0,3024","0,716"
"0,261","0,1808"
"0,438","0,0904"
"0,1797","0,1356"
"0,311","0,1582"
"0,252","0,1808"
"0,143","0,0904"
"0,169","0,2034"
"0,2086","0,0904"
"0,0834","0,113"
"0,2823","0,0452"
"0,1132","1,642"
"0,0856","1,6047"
"0,405","0,9984"
"0,276","0,166"
"0,409","1,32"
"0,3804","1,722"
"0,0712","0,7188"
"0,1104","0,3918"
"0,022","1,2012"
"0,0666","0,7704"
"0,1494","1,926"
"0,108","1,877"
"0,2448","1,267"
"0,4024","1,758"
"0,425","0,0678"
"0,2317","0,1582"
"0,1016","0,113"
"0,0652","0,0452"
"0,3272","0,0452"
"0,1715","0,0904"
"0,1542","0,113"
"0,1908","0,0904"
"0,0753","0,0226"
"0,258","0,0226"
"0,2424","0,141"
"0,2764","0,3459"
"0,2122","0,5772"
"0,3558","0,7254"
"0,3632","0,4386"
"0,1401","0,5928"
"0,2065","1,1896"
"0,16","0,6404"
"0,0321","1,2784"
"0,1925","1,4904"
"0,2565","1,0176"
"0,0816","0,6784"
"0,053","0,824"
"0,352","1,0008"
"0,1862","0,0452"
"0,2052","0,0226"
"0,0698","0,0904"
"0,5364","0,1582"
"0,3429","0,1808"
"0,2512","0,226"
"0,0864","0,2034"
"0,1518","0,226"
"0,1799","0,1356"
"0,0421","0,0904"
"0,0456","0,1509"
"0,1545","0,3066"
"0,0732","0,666"
"0,2224","1,1776"
"0,459","1,488"
"0,4221","1,486"
"0,3787","1,1624"
"0,0318","0,3422"
"0,0903","0,6784"
"0,0288","1,7"
"0,0308","1,0458"
"0,0765","1,0332"
"0,1304","0,6968"
"0,0429","1,467"
"0,0383","0,1582"
"0,1608","0,1582"
"0,0444","0,1808"
"0,2214","0,1356"
"0,2086","0,2034"
"0,1268","0,1582"
"0,1967","0,1808"
"0,232","0,0226"
"0,1869","0,1808"
"0,213","0,1582"
"0,243","0,318"
"0,3771","0,3642"
"0,1532","0,0671"
"0,306","0,5624"
"0,152","0,2988"
"0,095","0,13"
"0,3848","0,325"
"0,2008","0,5968"
"0,0256","0,1562"
"0,291","0,5663"
"0,1332","0,1704"
"0,216","0,3408"
"0,1105","0,6816"
"0,2142","0,6912"
"0,3048","0,113"
"0,059","0,0904"
"0,0633","0,0452"
"0,2538","0,1356"
"0,188","0,0678"
"0,0582","0,113"
"0,023","0,0226"
"0,114","0,0452"
"0,108","0,1356"
"0,2364","0,1582"
"0,0984","0,876"
"0,3285","1,645"
"0,2232","0,915"
"0,326","1,368"
"0,3408","0,5181"
"0,682","0,65"
"0,1623","0,1619"
"0,0412","0,3636"
"0,0606","1,862"
"0,323","0,5532"
"0,2724","0,5454"
"0,277","1,861"
"0,15","0,7604"
"0,231","0,6448"
"0,2975","0,1582"
"0,0614","0,1356"
"0,4688","0,0904"
"0,1184","0,2034"
"0,1764","0,113"
"0,1752","0,113"
"0,0924","0,2034"
"0,267","0,1582"
"0,0908","0,1808"
"0,172","0,1582"
"0,0952","1,2033"
"0,0411","0,48"
"0,1964","1,0115"
"0,1983","1,2897"
"0,3204","0,6935"
"0,0856","0,8904"
"0,0747","0,4611"
"0,2151","0,6708"
"0,1494","0,8385"
"0,0336","0,826"
"0,26","0,9912"
"0,1561","1,5471"
"0,1196","1,1368"
"0,079","1,098"
"0,1467","0,113"
"0,3618","0,226"
"0,283","0,226"
"0,0932","0,0678"
"0,251","0,1808"
"0,2052","0,1808"
"0,1805","0,1356"
"0,2376","0,0452"
"0,2784","0,226"
"0,2135","0,226"
"0,1452","0,1016"
"0,2816","0,1017"
"0,2935","0,714"
"0,2946","0,1119"
"0,28","0,4816"
"0,1364","0,4053"
"0,1446","0,5336"
"0,1908","0,254"
"0,452","0,3819"
"0,2058","1,1124"
"0,0294","1,0928"
"0,2115","0,1419"
"0,09","0,834"
"0,3186","0,602"
"0,1743","0,1808"
"0,0255","0,1808"
"0,1638","0,0226"
"0,2226","0,0904"
"0,2895","0,0452"
"0,1584","0,1356"
"0,1088","0,1356"
"0,309","0,0678"
"0,192","0,1356"
"0,5436","0,0452"
"0,244","0,1506"
"0,0466","0,8255"
"0,4392","1,1832"
"0,5032","1,356"
"0,1048","1,3266"
"0,3448","1,595"
"0,2058","1,3792"
"0,0497","0,7925"
"0,3472","0,2918"
"0,1615","0,8465"
"0,0956","1,2733"
"0,1778","1,4552"
"0,2058","0,3514"
"0,1794","1,0668"
"0,2394","0,0904"
"0,0928","0,1808"
"0,422","0,1356"
"0,1746","0,0226"
"0,1062","0,0904"
"0,0482","0,0904"
"0,1356","0,1582"
"0,2745","0,0452"
"0,2984","0,2034"
"0,4904","0,0904"
"0,0406","0,2076"
"0,2394","0,7224"
"0,186","0,3603"
"0,2233","0,783"
"0,424","0,576"
"0,2418","0,7002"
"0,2646","0,1325"
"0,1962","0,795"
"0,1974","1,0264"
"0,244","0,8904"
"0,261","0,39"
"0,1356","0,8262"
"0,1917","1,2573"
"0,1608","0,8214"
"0,0855","0,0678"
"0,4932","0,226"
"0,1666","0,1582"
"0,44","0,2034"
"0,0339","0,0452"
"0,212","0,0226"
"0,127","0,0904"
"0,1776","0,113"
"0,4632","0,0678"
"0,0999","0,2034"
"0,0376","0,555"
"0,1548","0,606"
"0,135","1,043"
"0,2184","0,7714"
"0,4275","0,512"
"0,2826","0,548"
"0,1128","0,6085"
"0,254","0,6345"
"0,1736","0,6445"
"0,288","0,3801"
"0,2688","0,4948"
"0,2148","0,6834"
"0,0808","0,5695"
"0,0777","1,0332"
"0,0313","0,1582"
"0,046","0,0226"
"0,174","0,2034"
"0,144","0,226"
"0,331","0,0452"
"0,1736","0,0678"
"0,2187","0,1808"
"0,0296","0,0678"
"0,2304","0,226"
"0,2628","0,1356"
"0,1569","0,3775"
"0,2265","0,896"
"0,3645","0,3024"
"0,255","0,4705"
"0,231","0,2922"
"0,1878","0,6858"
"0,303","0,8608"
"0,1204","0,4476"
"0,2286","0,9312"
"0,131","0,7987"
"0,1084","0,1141"
"0,0247","0,1141"
"0,1974","0,571"
"0,2115","0,1142"
"0,124","0,1808"
"0,2745","0,2034"
"0,337","0,0678"
"0,1496","0,1356"
"0,195","0,113"
"0,2058","0,1582"
"0,2808","0,0226"
"0,2016","0,1356"
"0,0446","0,1356"
"0,0488","0,1356"
"0,0455","1,3181"
"0,3624","1,738"
"0,5598","1,4895"
"0,326","0,7165"
"0,3155","0,6508"
"0,1004","0,5133"
"0,1038","0,824"
"0,189","0,317"
"0,0712","0,3216"
"0,1224","1,779"
"0,1862","0,1879"
"0,336","1,0614"
"0,333","1,017"
"0,0441","1,868"
"0,0247","0,226"
"0,0296","0,0226"
"0,0302","0,113"
"0,188","0,2034"
"0,3104","0,0452"
"0,427","0,0904"
"0,2584","0,1808"
"0,252","0,2034"
"0,096","0,1356"
"0,1104","0,1356"
"0,1068","1,5543"
"0,129","0,6356"
"0,3773","0,4455"
"0,486","1,388"
"0,376","1,292"
"0,3528","1,08"
"0,213","0,6384"
"0,132","1,0476"
"0,0606","0,5175"
"0,1758","1,3648"
"0,2576","0,678"
"0,0234","0,5148"
"0,228","1,2166"
"0,29","0,3414"
"0,343","0,0678"
"0,4095","0,113"
"0,0565","0,0678"
"0,2256","0,0452"
"0,0837","0,2034"
"0,1694","0,0452"
"0,0856","0,1582"
"0,0474","0,0226"
"0,25","0,1808"
"0,1212","0,0226"
"0,1088","0,743"
"0,097","0,2498"
"0,218","0,1279"
"0,2238","0,4098"
"0,1395","0,733"
"0,196","1,16"
"0,0807","0,3048"
"0,2086","0,9144"
"0,0319","0,1471"
"0,112","0,759"
"0,2275","0,5688"
"0,4005","1,383"
"0,1236","0,8706"
"0,2723","1,2663"
"0,1215","0,0452"
"0,345","0,1356"
"0,357","0,113"
"0,1285","0,113"
"0,256","0,2034"
"0,0246","0,0452"
"0,216","0,2034"
"0,0244","0,0678"
"0,1416","0,0226"
"0,4032","0,1808"
"0,45","0,791"
"0,285","0,1996"
"0,618","0,2098"
"0,2664","0,3884"
"0,476","0,9513"
"0,2765","0,5575"
"0,0903","0,3705"
"0,218","0,1298"
"0,0452","1,318"
"0,2277","1,1682"
"0,1716","0,7788"
"0,2844","0,7662"
"0,1585","0,569"
"0,479","0,9"
"0,2178","0,1808"
"0,314","0,2034"
"0,2349","0,0226"
"0,1345","0,0226"
"0,0332","0,2034"
"0,0255","0,0452"
"0,153","0,113"
"0,32","0,1356"
"0,2691","0,0678"
"0,1204","0,0678"
"0,852","0,0681"
"0,3584","0,1176"
"0,1572","0,2445"
"0,2844","0,5346"
"0,201","0,5929"
"0,1992","0,1782"
"0,2456","0,8586"
"0,0244","0,5724"
"0,2106","0,5706"
"0,141","0,2853"
"0,1778","0,3804"
"0,1362","0,5706"
"0,2114","0,6512"
"0,648","0,338"
"0,2835","0,226"
"0,1072","0,0226"
"0,2256","0,0904"
"0,285","0,1356"
"0,0492","0,226"
"0,1659","0,0678"
"0,18","0,1582"
"0,2532","0,1582"
"0,289","0,0226"
"0,185","0,226"
"0,1916","0,4697"
"0,253","0,5712"
"0,2056","0,0682"
"0,1743","0,4205"
"0,0867","0,911"
"0,272","0,178"
"0,119","0,89"
"0,0476","0,7288"
"0,2241","0,2736"
"0,0454","0,5472"
"0,0564","0,0869"
"0,188","0,869"
"0,1456","0,286"
"0,1916","0,671"
"0,0387","0,113"
"0,06","0,2034"
"0,2288","0,0226"
"0,142","0,113"
"0,269","0,0904"
"0,098","0,113"
"0,1638","0,1808"
"0,0856","0,1582"
"0,0693","0,226"
"0,178","0,0452"
"0,0768","0,5502"
"0,1122","0,7857"
"0,3712","0,398"
"0,3096","0,6454"
"0,2156","0,939"
"0,1256","0,8648"
"0,1156","0,6984"
"0,0484","0,2386"
"0,0253","0,2376"
"0,2331","0,1158"
"0,3105","0,583"
"0,144","0,229"
"0,236","0,1199"
"0,084","0,1188"
"0,24","0,0452"
"0,3456","0,1582"
"0,0836","0,0904"
"0,0235","0,226"
"0,0353","0,1356"
"0,0754","0,1582"
"0,2135","0,1808"
"0,253","0,1808"
"0,1722","0,1582"
"0,26","0,0452"
"0,148","0,0811"
"0,0996","0,4248"
"0,3519","0,0705"
"0,041","0,327"
"0,2095","0,5571"
"0,1299","0,6552"
"0,1315","0,6957"
"0,092","0,7866"
"0,1542","0,854"
"0,258","0,0854"
"0,1175","0,0854"
"0,0825","0,664"
"0,4797","0,3684"
"0,2364","0,0657"
"0,119","0,2034"
"0,145","0,0678"
"0,1206","0,0226"
"0,205","0,0904"
"0,0319","0,1356"
"0,2421","0,0904"
"0,0807","0,113"
"0,1992","0,0678"
"0,1638","0,0904"
"0,1603","0,1356"
"0,0354","0,588"
"0,4018","0,721"
"0,3234","0,3715"
"0,228","0,437"
"0,2604","0,6104"
"0,225","0,8064"
"0,3447","0,5064"
"0,1608","0,0791"
"0,1836","0,453"
"0,1016","0,5934"
"0,13","0,6202"
"0,084","0,424"
"0,139","0,0869"
"0,0241","0,954"
"0,106","0,226"
"0,2682","0,226"
"0,0645","0,2034"
"0,0434","0,113"
"0,2448","0,1808"
"0,22","0,0452"
"0,2464","0,226"
"0,2592","0,1582"
"0,1256","0,0452"
"0,1848","0,1356"
"0,0984","0,5957"
"0,2367","0,2484"
"0,1065","0,785"
"0,122","0,471"
"0,257","0,7245"
"0,1132","0,2031"
"0,0693","0,3385"
"0,1488","0,756"
"0,1701","0,336"
"0,2023","0,2484"
"0,2526","0,154"
"0,3447","0,4356"
"0,0888","0,4482"
"0,258","0,383"
"0,399","0,1582"
"0,4104","0,1808"
"0,2061","0,1808"
"0,0544","0,2034"
"0,2655","0,113"
"0,199","0,0678"
"0,124","0,0904"
"0,072","0,0904"
"0,0702","0,1356"
"0,3255","0,226"
"0,1952","0,5904"
"0,4176","0,5796"
"0,617","0,436"
"0,0452","0,1971"
"0,1495","0,842"
"0,353","0,5712"
"0,127","0,676"
"0,226","0,2616"
"0,15","0,7104"
"0,2024","0,7104"
"0,2088","0,8379"
"0,249","0,0903"
"0,0944","0,2709"
"0,1084","0,454"
"0,3564","0,0904"
"0,0972","0,0226"
"0,1398","0,226"
"0,0212","0,1356"
"0,0506","0,0226"
"0,23","0,0226"
"0,0606","0,1808"
"0,0801","0,1808"
"0,2637","0,2034"
"0,345","0,226"
"0,4716","0,4522"
"0,1383","0,2778"
"0,1107","0,9747"
"0,0333","0,6324"
"0,2916","0,4384"
"0,0996","0,1149"
"0,2015","0,8512"
"0,1184","0,9576"
"0,1764","0,2272"
"0,0861","0,7945"
"0,1565","0,8085"
"0,2163","1,135"
"0,162","0,6096"
"0,186","0,636"
"0,3393","0,113"
"0,0392","0,226"
"0,0425","0,2034"
"0,432","0,0226"
"0,1488","0,1582"
"0,236","0,2034"
"0,053","0,1356"
"0,0288","0,1356"
"0,0723","0,1582"
"0,1911","0,1808"
"0,0766","0,8603"
"0,322","1,0053"
"0,0868","0,5585"
"0,631","0,318"
"0,0289","0,247"
"0,1011","0,7332"
"0,1053","0,9912"
"0,485","1,164"
"0,0474","1,207"
"0,2808","1,1268"
"0,1944","0,6385"
"0,1175","0,4089"
"0,1325","0,5164"
"0,338","1,291"
"0,093","0,1808"
"0,2592","0,113"
"0,132","0,113"
"0,1168","0,1356"
"0,0244","0,0904"
"0,0304","0,0452"
"0,3051","0,1356"
"0,255","0,0452"
"0,2466","0,0904"
"0,0358","0,226"
"0,429","0,6996"
"0,0429","0,6145"
"0,2028","0,4488"
"0,3934","1,026"
"0,3768","0,6858"
"0,0806","0,852"
"0,2248","0,2124"
"0,309","1,155"
"0,1452","0,1381"
"0,2592","1,32"
"0,208","1,1421"
"0,333","0,8841"
"0,3681","0,6684"
"0,4032","0,231"
"0,2148","0,2034"
"0,3006","0,0904"
"0,1236","0,0904"
"0,0506","0,0904"
"0,0975","0,0452"
"0,2088","0,0452"
"0,1603","0,0678"
"0,0418","0,1582"
"0,0482","0,113"
"0,23","0,0226"
"0,3689","0,8172"
"0,997","0,5335"
"0,6576","0,8029"
"0,1752","0,678"
"0,1503","1,0437"
"0,1164","0,9114"
"0,2844","1,595"
"0,1052","0,957"
"0,273","0,5792"
"0,3393","0,5868"
"0,0267","1,642"
"0,2205","0,4644"
"0,265","1,3491"
"0,3","0,744"
"0,1383","0,113"
"0,1242","0,1582"
"0,2496","0,0678"
"0,1668","0,113"
"0,217","0,2034"
"0,0248","0,0678"
"0,1192","0,1808"
"0,1446","0,113"
"0,2052","0,1808"
"0,0468","0,1582"
"0,148","0,915"
"0,16","0,3234"
"1,103","0,1124"
"0,4712","0,6195"
"0,296","1,076"
"0,4368","1,2024"
"0,1266","0,6812"
"0,2196","0,3528"
"0,2664","1,5948"
"0,1435","0,1842"
"0,2259","1,496"
"0,1554","1,3251"
"0,047","1,884"
"0,0438","1,666"
"0,0642","0,0678"
"0,0586","0,1582"
"0,1912","0,1356"
"0,1264","0,0226"
"0,122","0,113"
"0,1869","0,1582"
"0,053","0,226"
"0,2682","0,1582"
"0,2016","0,0678"
"0,4002","0,0226"
"0,2319","0,0833"
"0,1335","0,8672"
"0,4711","0,1061"
"0,3736","0,633"
"0,0346","0,628"
"0,0307","1,286"
"0,2112","0,9728"
"0,0975","0,8939"
"0,0644","0,2576"
"0,1128","1,179"
"0,2304","0,9534"
"0,1662","0,5336"
"0,1535","0,9191"
"0,11","0,1315"
"0,073","0,1808"
"0,1752","0,0678"
"0,09","0,0678"
"0,2289","0,1356"
"0,1185","0,0678"
"0,1638","0,113"
"0,1736","0,113"
"0,219","0,1356"
"0,0466","0,0678"
"0,07","0,0678"
"0,1348","0,1236"
"0,4046","0,649"
"0,6408","0,546"
"0,659","0,3561"
"0,1776","0,6925"
"0,239","0,1585"
"0,0356","0,754"
"0,188","1,057"
"0,2528","1,0507"
"0,1875","0,2916"
"0,102","1,458"
"0,2088","0,2836"
"0,153","0,5696"
"0,0939","0,685"
"0,273","0,2034"
"0,2802","0,1808"
"0,1836","0,1356"
"0,2786","0,1808"
"0,2106","0,1582"
"0,1232","0,0904"
"0,0762","0,226"
"0,0984","0,226"
"0,2808","0,113"
"0,2946","0,0904"
"0,387","0,909"
"0,2992","0,46"
"0,2888","1,0143"
"0,1197","0,6258"
"0,1434","0,8688"
"0,2088","0,113"
"0,2322","0,238"
"0,0622","0,2378"
"0,0392","0,5685"
"0,1832","0,2422"
"0,418","0,5745"
"0,1816","0,2997"
"0,463","0,6414"
"0,2484","1,154"
"0,2289","0,1356"
"0,1308","0,113"
"0,0952","0,0452"
"0,0476","0,0678"
"0,0687","0,1356"
"0,132","0,1582"
"0,0239","0,1582"
"0,1575","0,226"
"0,022","0,0452"
"0,0661","0,2034"
"0,2688","0,1018"
"0,5832","0,0929"
"0,2352","0,0966"
"0,252","0,7568"
"0,0852","0,0994"
"0,262","0,812"
"0,2198","0,4464"
"0,2682","0,9112"
"0,0265","0,581"
"0,1752","0,8099"
"0,2023","0,9424"
"0,1575","0,2298"
"0,0656","0,5845"
"0,2584","0,675"
"0,448","0,226"
"0,724","0,113"
"0,0729","0,1582"
"0,0484","0,1356"
"0,0478","0,0452"
"0,2544","0,113"
"0,581","0,0226"
"0,1672","0,113"
"0,0265","0,2034"
"0,063","0,1808"
"0,2284","0,1033"
"0,6083","0,4152"
"0,414","0,42"
"0,5418","0,289"
"0,2466","0,1676"
"0,0377","1,3992"
"0,2512","1,472"
"0,0825","1,861"
"0,0928","0,381"
"0,108","1,5408"
"0,26","1,5064"
"0,181","0,5475"
